"_rdsrcinstid_","cycle_name","entity_id","analysis_run_name","reporting_dt","engine_schema","krm_run_id","krm_run_description","txn_id","prod_id","currency","tp_id","alt_param_id","yc_name","tp_class","tp_model_desc","a01","a02","a03","a04","a06","a07","sas_map_id","cut08","al_flag","signed_par_bal","cur_grs_rt","cust_inc","tp_org","tp_adj_total","tp_final","tp_inc","margin","issue_dt","mat_dt","yc_dt","start_dt","end_dt","duration","avg_life","tp_results"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","476711120031","        2420","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Subordinated Notes","Subordinated Notes","Austria","Niederoesterreich","AT-3","EURIBOR_3M","          -1","  -281569.42","    1.476318","    -4156.86","    0.392455","           0","    0.392455","     1105.03","    -3051.83","05DEC2021:00:00:00.000000","05JUL2023:00:00:00.000000","06DEC2021:00:00:00.000000","06DEC2021:00:00:00.000000","31MAR2022:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","5482189200221","        2411","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Senior Notes","Senior Notes - Fixed","Austria","Niederoesterreich","AT-3","Fixed","          -1"," -5479058.01","        3.08","  -168754.99","    0.513515","           0","    0.513515","    28135.78","   -140619.2","03OCT2021:00:00:00.000000","21MAR2024:00:00:00.000000","03OCT2021:00:00:00.000000","03OCT2021:00:00:00.000000","21MAR2024:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","5227095200221","        2411","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Senior Notes","Senior Notes - Fixed","Austria","Niederoesterreich","AT-3","Fixed","          -1"," -5479058.01","         2.6","  -142455.51","    0.517085","           0","    0.517085","    28331.39","  -114124.12","05AUG2021:00:00:00.000000","14AUG2024:00:00:00.000000","05AUG2021:00:00:00.000000","05AUG2021:00:00:00.000000","14AUG2024:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","5323999200221","        2412","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Senior Notes","Senior Notes - Floating","Austria","Niederoesterreich","AT-3","EURIBOR_3M","          -1"," -5479058.01","    1.430542","   -78380.23","    0.340954","           0","    0.340954","    18681.07","   -59699.16","21AUG2021:00:00:00.000000","17NOV2022:00:00:00.000000","17NOV2021:00:00:00.000000","17NOV2021:00:00:00.000000","31MAR2022:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","5159467200221","        2412","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Senior Notes","Senior Notes - Floating","Austria","Niederoesterreich","AT-3","EURIBOR_3M","          -1"," -5479058.01","    1.449594","    -79424.1","    0.367461","           0","    0.367461","     20133.4","   -59290.69","28JUL2021:00:00:00.000000","14JUN2022:00:00:00.000000","14OCT2021:00:00:00.000000","14OCT2021:00:00:00.000000","31MAR2022:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","598323120031","        2420","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Subordinated Notes","Subordinated Notes","Austria","Niederoesterreich","AT-3","EURIBOR_3M","          -1","  -281569.42","    0.117437","     -330.67","    0.446758","           0","    0.446758","     1257.93","      927.27","10DEC2021:00:00:00.000000","12JUN2024:00:00:00.000000","10DEC2021:00:00:00.000000","10DEC2021:00:00:00.000000","31MAR2022:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","5112102200221","        2412","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Senior Notes","Senior Notes - Floating","Austria","Niederoesterreich","AT-3","EURIBOR_3M","          -1","  -334222.54","    1.451709","    -4851.94","    0.422823","           0","    0.422823","     1413.17","    -3438.77","29JUN2021:00:00:00.000000","20APR2022:00:00:00.000000","20SEP2021:00:00:00.000000","20SEP2021:00:00:00.000000","31MAR2022:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","5487506200221","        2412","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Senior Notes","Senior Notes - Floating","Austria","Niederoesterreich","AT-3","EURIBOR_3M","          -1"," -5479058.01","    1.393969","   -76376.37","    0.334036","           0","    0.334036","    18302.03","   -58074.34","04OCT2021:00:00:00.000000","27MAR2023:00:00:00.000000","27NOV2021:00:00:00.000000","27NOV2021:00:00:00.000000","31MAR2022:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","5342526200221","        2412","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Senior Notes","Senior Notes - Floating","Austria","Niederoesterreich","AT-3","EURIBOR_3M","          -1"," -5479058.01","    1.411867","   -77357.01","    0.443922","           0","    0.443922","    24322.74","   -53034.27","15SEP2021:00:00:00.000000","20DEC2023:00:00:00.000000","20DEC2021:00:00:00.000000","20DEC2021:00:00:00.000000","31MAR2022:00:00:00.000000","           .","           .","Calculated"
"cb6c193c-890c-4e7b-99ce-07fde9f332bb","FTPCycle202112 - V2","SASBank_1","FTPCycle202112_1_ALM_TP_Rate_Calculations-2024.09","31DEC2021:00:00:00.000000","riskcirruskrm","run0000i","run0000i - 2024-10-07T12:17:55.225Z","5872441200221","        2412","EUR","TP1TPM3","","EUR TP Curve (Funding Spreads On Gov)","TP01","Term-based","Liabilities","Long-/Medium-Term Debt","Senior Notes","Senior Notes - Floating","Austria","Niederoesterreich","AT-3","EURIBOR_3M","          -1"," -5479058.01","     1.28161","   -70220.16","    0.326739","           0","    0.326739","    17902.22","   -52317.94","11NOV2021:00:00:00.000000","11MAR2022:00:00:00.000000","11NOV2021:00:00:00.000000","11NOV2021:00:00:00.000000","11MAR2022:00:00:00.000000","           .","           .","Calculated"
